word,label,tf-idf
폐기물,e,114.255678
사용량,e,83.49453394
온실가스,e,75.80424792
재활용,e,75.80424792
원단위,e,62.62090045
플라스틱,e,62.62090045
배출량,e,61.52228817
환경경영,e,27.46530722
기후변화,e,24.16947035
LED,e,23.07085806
PET,e,19.7750212
탄소중립,e,19.7750212
사업장,e,19.05686008
폐가전,e,17.57779662
업사이클링,e,16.47918433
음식물,e,16.47918433
포장재,e,14.19127878
페트병,e,13.18334746
물류센터,e,12.16395324
효율화,e,10.98612289
코카콜라음료,e,10.98612289
재활용성,e,10.98612289
선순환,e,10.98612289
환경,e,"1,098,612"
지속적,e,10.1366277
정보보호,s,102.1709428
협력사,s,99.97371827
안전보건,s,88.98759538
동반성장,s,74.70563563
협력회사,s,65.68534751
개인정보,s,46.14171612
임직원,s,45.81755722
근로자,s,41.74726697
프로그램,s,41.74726697
정보보안,s,39.55004239
중소기업,s,38.4514301
개인정보보호,s,37.35281781
온라인,s,36.25420553
화학물질,s,34.05698095
자율준수,s,34.05698095
파트너사,s,33.24813886
컨설팅,s,30.76114408
경쟁력,s,30.76114408
육아휴직,s,29.66253179
유해물질,s,29.66253179
공정거래,s,29.19348778
시스템,s,27.57162735
사업장,s,25.94976692
ESG,s,25.1388367
안심품질,s,23.07085806
품질관리,s,20.87363348
국내외,s,18.67640891
프로세스,s,18.24592986
안전성,s,17.57779662
공급망,s,17.57779662
화장품,s,16.47918433
담당자,s,15.38057204
안전사고,s,15.38057204
안전관리,s,15.38057204
간담회,s,14.28195975
경영주,s,14.28195975
플랫폼,s,14.28195975
위험성,s,13.18334746
불공정,s,13.18334746
데이터,s,13.18334746
매뉴얼,s,13.18334746
지속적,s,12.16395324
관리자,s,12.08473518
HACCP,s,12.08473518
품질경영,s,12.08473518
산업재해,s,12.08473518
전문기관,s,10.98612289
가맹점,s,10.98612289
안전보건경영,s,10.98612289
윤리경영,s,10.98612289
가이드라인,s,10.98612289
제조사,s,10.98612289
이사회,s,81.90395184
이사회,g,81.90395184
사내이사,g,40.64865468
감사위원회,g,38.4514301
ESG위원회,g,29.66253179
주주총회,g,26.36669493
참석률,g,23.07085806
독립성,g,21.97224577
위원회,g,21.08418562
내부거래위원회,g,20.87363348
지배구조,g,18.67640891
ESG,g,18.24592986
보상위원회,g,16.47918433
대표이사,g,14.28195975
경영진,g,13.18334746
위원장,g,12.97488346
전문성,g,12.16395324
과반수,g,10.98612289
